country,activity,injury,fatal
south africa,fishing,surf-ski bitten but no injury to occupant,n
australia,body boarding,injuries to lower left leg and foot,n
bahamas,swimming,arc of shallow lacerations to back,n
australia,surfing,20 cm injury to left calf,n
australia,swimming,fatal,y
egypt,scuba diving,calf muscle removed,n
australia,surfing,knocked off board by a  shark   no injury,n
usa,surfing,injury to right foot,n
usa,surfing,minor injury to toe,n
usa,diving  filming,injury to right hand  wrist,n
australia,body surfing,injury to upper right arm,n
new zealand,surfing,severe lacerations to arm and hand and cut to face,n
samoa,surf skiing,"no injury, tail of surf ski bitten off",n
australia,spearfishing,"no injury, claimed he was bumped by shark",n
usa,surfing,black eye,n
australia,fishing,injury to upper left arm by hooked shark provoked incident,n
usa,diving,traumatic injuries to upper torso,n
australia,nan,knee bitten,n
usa,fishing,"no injury, shark nicked kayak",n
fiji,diving,abrasion to leg when he kicked the shark provoked incident,n
bahamas,spearfishing,lacerations to fingers,n
usa,nan,cuts to hand,n
jamaica,spearfishing,fatal,y
australia,swimming,serious injury to left thigh,n
australia,swimming,serious injury to anterior right thigh,n
usa,boogie boarding,fatal,y
usa,surfing,ankle bitten,n
usa,stand-up paddleboarding,right arm bitten,n
usa,surfing,calf bitten,n
ireland,fishing,forearm bitten by hooked shark provoked incident,n
bahamas,diving,right foream bitten,n
usa,swimming,shark bumped chest but no injury,n
bahamas,spearfishing,lacerations to head and neck,n
usa,surfing,injury to right lower leg,n
italy,playing,calf bitten,n
bahamas,standing,injury to lower left leg,n
usa,nan,scratches to calf,n
usa,swimming,"lacerations to leg, hip and hand",n
usa,spearfishing,laceration to right leg above the knee,n
usa,standing,injury to calf,n
usa,swimmingstanding,injury to right calf,n
egypt,snorkeling,fatal,y
usa,surfing,minor cuts to hand,n
china,putting hand in shark tank,lacerations to fingers provoked incident,n
usa,boogie boarding,minor puncture wounds to leg,n
usa,wading,lacerations to lower leg,n
usa,surfing,single laceration to right thigh inconsistent with shark bite,nan
colombia,fishing,"autopsy confirmed death by drowning, shark bite were post-mortem",nan
usa,wading,surf washed the dying shark against her foot provoked incident,n
usa,surfing,"laceration to left thigh, possibly caused by surfboard",n
usa,wading,foot bitten,n
usa,surfing,lacerations to left foot,n
usa,surfing,minor injury to foot,n
bahamas,floating,minor injury to wrist,n
usa,snorkeling,injury to kneelower leg,n
usa,boogie boarding,"minor injury, puncture marks to left lower leg",n
usa,paddling,"no injury to occupant, outrigger canoe and paddle damaged",n
usa,fishing,injury to fingers while removing hook from shark          provoked incident,n
usa,standing,minor injury to left thigh,n
usa,surfing,injury to left lower leg from surfboard skeg,n
australia,surfing,minor injury to lower leg,n
mexico,free diving,lacerations to leg & hand provoked incident,n
australia,kite surfing,"no injury, board bitten",n
brazil,swimming,fatal,y
egypt,scuba diving,laceration to right thigh,n
usa,fishing,minor injury to foot provoked incident,n
usa,walking,lower left leg bitten,n
usa,standing,minor injury to foot,n
australia,feeding sharks,minor bite to hand by captive shark provoked incident,n
usa,boogie boarding,injuries to lower right leg and foot,n
usa,swimming,severe bite to right forearm,n
england,fishing,injured by teeth of a dead porbeagle shark he was tossing overboard,n
australia,feeding sharks,shallow lacerations to finger provoked incident,n
south africa,surfing,"minor injury, marks on board",n
australia,surfing,"no injury, surfboard damaged",n
thailand,swimming,minor injury to ankle,n
usa,fishing,forearm bitten by hooked shark provoked incident,n
costa rica,scuba diving,"no injury, shark bit scuba gear",n
australia,surfing,"no injury, knocked off board by shark",n
australia,surfing,no injury,n
australia,surfing,"no injury, knocked off board by shark",n
australia,surfing,"no injury, shark struck his leg",n
maldives,fishing,5-inch cut to hand,n
south africa,surf-skiing,"no injury, shark bit hole in ski",n
usa,body boarding,lacerations to right lower leg,n
thailand,swimming,lacerations to foot and ankle,n
brazil,swimming,"multiple severe injuries to arms and leg, leg subsequently surgically amputated",nan
australia,surfing,laceration to right thigh,n
australia,surfing,lacerations to legs,n
bahamas,surfing,no injury shark swam away with the surf board,n
brazil,fishing,injury to ankle from marine animal trapped in weir provoked incident,n
new caledonia,foilboarding,"no injury, shark bit board",n
bahamas,swimming,"2 puncture wounds to left foot, abrasion to right foot",n
south africa,surfing,lacerations to left knee & lower leg,n
usa,stand-up paddleboarding,"lacerations to right hand and arm, loss of right leg below the knee",n
australia,wading,minor injuries to legs,n
australia,swimming,"no injury, said to have been charged by sharks several times",n
australia,surfing,"minor injury, ankle grazed",n
south africa,scuba diving,the shark & man simply collided; neither were injured,n
australia,swimming,laceratons to right leg & foot,n
australia,fishing,"shark rammed kayak, no injury to occupant  provoked incident",n
australia,walking,puncture wounds to leff foot & lower leg,n
australia,swimming,"collision with marine animal  no injury, no attack",n
brazil,cleaning fish,lacerations to 4 toes of right foot,n
ecuador,snorkeling,injuries to right foot,n
australia,spearfishing,"no injury no attack this is considerd an ""encounter""",n
australia,nan,injuries to right leg,n
new caledonia,spearfishing,injuries to abdomen and arm,n
french polynesia,surfing,superficial bite to right thigh and left knee,n
australia,diving,severe laceration to left forearm,n
australia,free diving,"no injury, shark took his swimfin",n
brazil,surfing,minor injury to left forearm,n
australia,surfing,foot bitten,n
usa,surfing,severe lacerations to left thigh & knee,n
usa,surfing,foot bitten,n
malaysia,fishing  wading,"minor injury to thigh, provoked incident",n
bahamas,snorkeling,minor injury to arm,n
australia,surfing,"degloved right arm ligaments in both shoulders torn, both knee cartilages torn, pelvis displacement and shredded foot 32 stiches in all",n
costa rica,scuba diving,serious injury to leg,n
costa rica,scuba diving,fatal,y
libya,2 boats capsized,fatal,y
usa,spearfishing,right leg bitten,n
usa,surfing,heel bitten,n
nan,surfing,puncture wounds to feet,n
australia,surfing,puncture wounds to left shoulder,n
cuba,night bathing,fatal,y
usa,surfing,minor cuts to lower left leg,n
australia,snorkeling,calf injured,n
australia,surfing,minor injury to foot,n
usa,stand-up paddleboarding,no injury but shark bit sup,n
mauritius,swimming,minor injury to foot,n
usa,surfing,lacerations to left foot,n
usa,swimming,severe lacerations to left hand & wrist,n
australia,kayaking  fishing,minor injuries,n
new zealand,kayaking,"no injury, shark shook kayak x3",n
usa,swimming,puncture wounds & lacerations to foot,n
usa,surfing,lacerations to left hand,n
usa,snorkeling,abrasions,n
south africa,scuba diving,"fatal, but death was probably due to drowning",nan
usa,surfing,lacerations to lower left leg and foot,n
australia,surfing,"no injury, board damaged by shark",n
usa,surfing,"lacerations to right ankle, foot & toe",nan
usa,surfing,laceration to upper arm,n
usa,surfing,minor lacerations to sole of left foot,n
spain,body surfing,lacerations to right foot,n
usa,surfing,lacerations to left foot,n
south africa,scuba diving,"fatal, but death was probably due to drowning",nan
samoa,fishing,injuries to hands and legs,n
australia,fishing,"sharks rammed boats, no injury to occupants",n
usa,surfing,lacerations to left foot,n
australia,swimming,minor injuries,n
australia,surfing,minor lacerations to right hip,n
solomon islands,spearfishing,foot bitten,n
south africa,"swimming, poaching abalone",fatal,y
japan,surfing,injury to ankle & feet,n
usa,swimming,lacerations to abdomen,n
usa,swimming,lacerations to foot,n
usa,surfing,minor injury to right hand,n
australia,surfing,"no injury, board bitten",n
usa,wading,leg injured,n
spain,swimming,lacerations to left foot,nan
new zealand,canoeing,"no injury, shark bit canoe",n
usa,sup,not injured by shark but board bitten,n
bahamas,spearfishing,hand injured,n
usa,swimming,minor cuts to sole & toes of left foot,n
egypt,snorkeling,bite to right leghip,n
usa,fishing,foot bitten by landed shark provoked incident,n
usa,fishing,"no injury, bow of kayak bitten",n
usa,skimboarding,lacerations to lower leg,n
usa,swimming,abrasions and cuts to sole of foot,nan
usa,nan,bite to left thigh  minor injury,n
bahamas,snorkeling,foot & ankle injured,n
bahamas,spearfishing,severe lacerations to left hand,n
"st helena, british overseas territory",surfing,torso bitten,n
usa,nan,minor injury to hand,n
spain,swimming,abrasion to arm from shark's rough skin,n
usa,nan,foot bitten,n
usa,swimming,foot injured,nan
usa,kayaking,"no injury, kayak bitten",n
usa,sup,"no injury, shark bit paddleboard",n
usa,surfing,pulled off board by shark but no injury,n
australia,surfing,"minor injury, grazed by shark",n
usa,kayaking,"no injury, kayak bitten",n
usa,swimming,lower legs bitten,n
mexico,fishing,hand bitten by hooked shark provoked incident,n
south africa,surfing,"no injury, shark bit surfboard",n
comoros,fishing,"skull found in shark, a probable drowning & scavenging",nan
usa,fishing,"arm injured by hook, not by a shark",nan
usa,swimming,left foot bitten,n
usa,surfing,1 to 2-inch laceration behind knee,n
usa,swimming,leg bitten,n
reunion,body boarding,"no injury, shark bit surfboard",n
spain,swimming,2-inch laceration to hand,n
french polynesia,surfing,injuries to hand and wrist,n
bahamas,feeding sharks,fingernail pulled off,n
australia,body boarding,"no injury, board bitten",n
australia,surfing,"no injury, knocked off board",n
usa,surfing,laceration to left foot,n
united kingdom,surfing,"bruise to leg, cuts to hand sustained when he hit the shark",n
usa,spearfishing,laceration to shin,n
bahamas,snorkeling,right forearm severed,n
usa,touching a shark,right hand bitten by hooked shark provoked incident,n
usa,feeding sharks,lacerations to right arm,n
australia,fishing,abrasion to right forearm from pectoral fin of a shark that leapt into his boat,n
united arab emirates,spearfishing,right leg severely bitten,n
australia,attempting to lasso a shark,thigh nipped provoked incident,n
mexico,snorkeling,fatal,y
usa,surfing,"laceration to thigh, likely caused by surfboard fin",nan
usa,swimming,major injury to posterior thigh,n
south africa,surfing,minor injury to right calf,n
usa,surfing,left foot bitten,n
reunion,body boarding,fatal,y
new zealand,body boarding,puncture wounds & laceration above knee,n
usa,photo shoot,alleged laceration to left ankle,nan
"st helena, british overseas territory",snorkeling,calf & foot bitten,n
usa,swimming,laceration & puncture wounds to left foot,nan
usa,nan,minor bite to the foot,n
australia,surfing,fatal,y
usa,surfing,lower right leg severely injured,n
usa,surfing,lacerations to right foot,n
usa,surfing,lacerations to right foot,n
south africa,scuba diving,"fatal, coroner unable to determine if the diver was alive or had drowned when incident took place",nan
usa,surfing,calf bitten,n
usa,paddle boarding,laceration to calf,n
usa,swimming,minor injury to left hand,n
usa,swimming,foot injured,n
usa,swimming,"thigh nipped, minor injury",n
australia,kakaying,"no injury, shark bit off stern of kayak",n
usa,swimming,lacerations to thighs,n
usa,surfing,minor injury to left foot,n
australia,body boarding,minor,n
usa,kayaking,"no injury, kayak bitten",n
philippines,spearfishing,right thigh injured,n
bahamas,washing hands,abrasions & lacerations to left leg and hand,n
mexico,fishing,finger severed by  'dead shark' on boat's deck   provoked incident,n
bahamas,floating,minor injury to hand,n
australia,snorkeling,hand bitten,n
australia,surfing,"no injury, shark struck board",n
reunion,body boarding,fatal,y
australia,spearfishing,left leg severely bitten,n
usa,swimming,injury to hand,n
brazil,grabbing shark for a selfie,"minor injury to finger, provoked incident",n
south africa,fishing,"shark damaged kayak, no injury to occupant",n
usa,fishing,"shark bit boat, no injury to occupants",n
bahamas,scuba diving,lacerations to upper right arm,n
usa,not stated,shoulder injuries,n
brazil,swimming,minor laceration to ring finger,n
usa,nan,puncture wounds to lower arm or hand,n
australia,scuba diving,"multiple injuries to arm, wrist and torso",n
australia,swimming,injury to hand,n
usa,nan,minor injury to hand,n
indonesia,surfing,injury to right wrist & forearm,n
australia,spearfishing,"no attack, shark made a threat display",nan
usa,wading,minor injuries to foot,n
australia,wading,minor injuries to foot & toes,nan
usa,surfing,lacerations to right forearm,n
australia,snorkeling,buttock bitten,n
south africa,surf skiing,"no injury, but ski severely damaged",n
australia,free diving,punctures to left footankle,n
french polynesia,fishing,hand injured,n
